Date,Close,Open,High,Low,Vol.,Change %
"Aug 31, 2021",198.70,201.50,203.00,197.00,2.56M,-0.75%
"Aug 29, 2021",200.20,204.00,204.80,199.00,879.82K,-1.72%
"Aug 26, 2021",203.70,203.40,205.50,201.50,2.91M,0.20%
"Aug 25, 2021",203.30,201.50,206.30,200.20,2.19M,1.50%
"Aug 24, 2021",200.30,195.00,203.90,195.00,4.79M,2.93%
"Aug 23, 2021",194.60,191.50,195.20,191.50,1.84M,1.78%
"Aug 22, 2021",191.20,191.90,194.70,189.90,1.13M,0.00%
"Aug 19, 2021",191.20,192.00,193.70,190.50,775.39K,-0.36%
"Aug 18, 2021",191.90,192.00,194.00,190.50,1.04M,0.79%
"Aug 17, 2021",190.40,194.80,194.90,190.00,1.26M,-2.26%
"Aug 16, 2021",194.80,194.10,197.80,193.60,1.68M,0.57%
"Aug 12, 2021",193.70,191.90,196.50,191.90,2.52M,1.63%
"Aug 11, 2021",190.60,190.00,191.50,187.50,1.66M,1.65%
"Aug 10, 2021",187.50,189.00,189.00,186.70,1.11M,-0.58%
"Aug 09, 2021",188.60,189.00,193.00,187.00,1.77M,-0.63%
"Aug 05, 2021",189.80,188.00,191.50,185.20,1.80M,2.10%
"Aug 03, 2021",185.90,185.00,188.20,184.40,1.37M,0.98%
"Aug 02, 2021",184.10,184.00,185.40,183.50,797.56K,0.33%
"Jul 29, 2021",183.50,184.90,186.10,183.00,471.40K,-0.38%
"Jul 28, 2021",184.20,185.00,186.00,183.00,428.56K,-0.27%
"Jul 27, 2021",184.70,185.50,187.00,184.20,489.55K,-0.27%
"Jul 26, 2021",185.20,188.80,190.00,184.00,656.58K,-1.75%
"Jul 25, 2021",188.50,184.10,189.20,184.10,1.03M,2.00%
"Jul 19, 2021",184.80,184.90,185.30,183.80,462.90K,-0.11%
"Jul 18, 2021",185.00,180.70,186.00,180.60,849.68K,1.65%
"Jul 15, 2021",182.00,182.80,183.90,180.00,474.53K,-1.19%
"Jul 14, 2021",184.20,184.80,186.00,182.50,862.98K,-0.11%
"Jul 13, 2021",184.40,184.70,185.50,182.70,935.03K,0.38%
"Jul 12, 2021",183.70,183.10,185.00,181.50,1.51M,0.33%
"Jul 08, 2021",183.10,183.80,184.40,180.10,1.47M,1.05%
"Jul 07, 2021",181.20,178.50,185.00,178.00,1.54M,1.80%
"Jul 06, 2021",178.00,176.00,179.00,175.10,595.94K,0.56%
"Jul 05, 2021",177.00,178.40,178.50,175.20,534.08K,-0.17%
"Jul 04, 2021",177.30,177.30,178.40,175.90,775.02K,0.00%
"Jun 30, 2021",177.30,176.90,178.40,175.90,775.02K,0.80%
"Jun 29, 2021",175.90,173.00,177.50,173.00,513.45K,1.68%
"Jun 28, 2021",173.00,173.80,174.40,172.60,328.31K,0.46%
"Jun 27, 2021",172.20,175.40,175.40,171.50,804.34K,-2.21%
"Jun 24, 2021",176.10,176.00,176.90,173.00,749.28K,0.00%
"Jun 23, 2021",176.10,176.60,179.00,175.90,523.79K,-0.28%
"Jun 22, 2021",176.60,179.00,179.00,175.90,543.27K,-1.67%
"Jun 21, 2021",179.60,180.00,181.80,177.70,1.28M,-0.22%
"Jun 20, 2021",180.00,175.00,180.70,175.00,1.64M,2.92%
"Jun 17, 2021",174.90,171.00,175.60,171.00,605.02K,2.40%
"Jun 16, 2021",170.80,171.00,172.20,169.50,658.87K,-0.12%
"Jun 15, 2021",171.00,171.00,172.70,169.00,510.25K,0.12%
"Jun 14, 2021",170.80,172.80,173.40,170.00,430.07K,-1.10%
"Jun 13, 2021",172.70,175.10,176.20,171.00,759.61K,-1.03%
"Jun 10, 2021",174.50,178.00,178.50,174.20,1.25M,-0.91%
"Jun 09, 2021",176.10,176.80,179.90,175.50,1.11M,-0.28%
"Jun 08, 2021",176.60,178.00,180.40,175.90,971.84K,-0.90%
"Jun 07, 2021",178.20,182.20,187.60,175.50,1.24M,-1.87%
"Jun 06, 2021",181.60,175.00,183.30,172.00,1.87M,4.49%
"Jun 03, 2021",173.80,170.20,175.00,170.20,1.09M,1.52%
"Jun 02, 2021",171.20,170.80,172.00,167.20,777.05K,1.42%
"Jun 01, 2021",168.80,171.70,172.70,168.00,1.07M,-1.69%
"May 31, 2021",171.70,170.50,173.00,170.20,539.72K,0.88%
"May 30, 2021",170.20,173.80,174.90,169.80,783.18K,-1.68%
"May 27, 2021",173.10,171.50,174.00,169.10,1.22M,0.93%
"May 25, 2021",171.50,173.80,175.00,171.10,689.26K,-1.04%
"May 24, 2021",173.30,175.80,176.30,172.70,727.87K,-0.06%
"May 23, 2021",173.40,178.20,179.00,172.40,1.36M,-2.03%
"May 20, 2021",177.00,178.20,180.90,175.30,1.10M,-0.51%
"May 19, 2021",177.90,183.00,183.40,177.30,1.72M,-2.63%
"May 18, 2021",182.70,180.00,184.00,178.00,931.60K,2.76%
"May 17, 2021",177.80,180.10,183.00,177.00,1.01M,-1.93%
"May 16, 2021",181.30,185.00,185.00,179.80,661.08K,-1.52%
"May 12, 2021",184.10,187.00,187.40,183.50,1.03M,-2.54%
"May 11, 2021",188.90,190.10,191.60,187.50,1.50M,-0.58%
"May 09, 2021",190.00,183.20,191.90,183.00,1.45M,3.26%
"May 06, 2021",184.00,184.90,185.80,182.00,2.45M,0.27%
"May 05, 2021",183.50,185.80,187.30,182.70,929.68K,-1.18%
"May 04, 2021",185.70,187.20,189.00,183.30,1.78M,-0.38%
"May 03, 2021",186.40,193.00,193.00,184.10,2.19M,-3.17%
"May 02, 2021",192.50,195.00,195.00,190.50,1.74M,0.26%
"Apr 29, 2021",192.00,194.30,194.40,189.80,2.32M,0.10%
"Apr 28, 2021",191.80,189.40,193.30,188.30,1.24M,1.32%
"Apr 27, 2021",189.30,194.90,194.90,188.10,2.70M,-2.97%
"Apr 26, 2021",195.10,197.60,199.50,192.20,3.52M,-0.31%
"Apr 25, 2021",195.70,193.00,197.50,192.30,3.41M,2.35%
"Apr 22, 2021",191.20,192.20,193.00,188.20,2.32M,-0.57%
"Apr 21, 2021",192.30,190.00,195.50,190.00,2.23M,1.53%
"Apr 20, 2021",189.40,181.30,190.40,181.20,2.55M,4.12%
"Apr 19, 2021",181.90,183.90,184.40,180.80,1.03M,-0.27%
"Apr 18, 2021",182.40,183.40,184.80,179.90,869.38K,0.72%
"Apr 15, 2021",181.10,178.00,181.80,177.00,581.06K,2.20%
"Apr 13, 2021",177.20,170.10,178.30,169.10,664.29K,2.84%
"Apr 12, 2021",172.30,175.40,177.80,171.00,856.88K,-0.75%
"Apr 11, 2021",173.60,178.00,178.00,171.30,475.23K,-2.53%
"Apr 08, 2021",178.10,183.50,183.50,177.70,558.40K,-2.14%
"Apr 07, 2021",182.00,184.10,184.40,181.40,869.40K,-0.33%
"Apr 06, 2021",182.60,182.90,184.00,180.10,874.14K,0.00%
"Apr 05, 2021",182.60,177.90,183.70,177.60,539.50K,4.94%
"Apr 04, 2021",174.00,173.10,180.00,166.80,1.19M,-5.84%
"Apr 01, 2021",184.80,185.00,185.80,181.00,1.04M,-0.32%
"Mar 31, 2021",185.40,188.00,188.80,183.50,1.87M,-1.96%
"Mar 29, 2021",189.10,188.90,191.00,186.60,2.91M,0.48%
"Mar 28, 2021",188.20,183.30,189.20,183.30,1.64M,1.07%
"Mar 25, 2021",186.20,183.70,187.50,180.00,2.22M,1.92%
"Mar 24, 2021",182.70,189.00,189.40,180.60,2.49M,-3.54%
"Mar 23, 2021",189.40,182.10,189.90,182.00,2.91M,4.64%
"Mar 22, 2021",181.00,179.00,182.00,172.70,1.89M,2.26%
"Mar 21, 2021",177.00,181.00,181.00,174.50,1.60M,-1.99%
"Mar 18, 2021",180.60,182.00,182.50,177.30,1.67M,-1.63%
"Mar 16, 2021",183.60,185.90,187.40,181.20,848.76K,-0.92%
"Mar 15, 2021",185.30,187.00,187.60,184.50,931.45K,-0.32%
"Mar 14, 2021",185.90,191.00,191.60,185.00,1.27M,-2.00%
"Mar 11, 2021",189.70,187.00,191.50,185.20,1.52M,1.77%
"Mar 10, 2021",186.40,192.70,193.50,185.80,1.28M,-2.82%
"Mar 09, 2021",191.80,192.90,194.20,191.20,2.03M,0.05%
"Mar 08, 2021",191.70,188.10,193.00,187.30,1.25M,2.29%
"Mar 07, 2021",187.40,191.60,192.00,186.30,1.43M,-1.16%
"Mar 04, 2021",189.60,187.60,193.80,187.00,2.48M,0.64%
"Mar 03, 2021",188.40,196.10,196.90,186.70,2.45M,-2.94%
"Mar 02, 2021",194.10,182.40,195.40,182.40,3.34M,6.71%
"Mar 01, 2021",181.90,177.10,183.00,172.90,1.37M,3.18%
"Feb 28, 2021",176.30,182.80,184.40,174.10,1.35M,-2.87%
"Feb 25, 2021",181.50,180.50,185.00,178.10,1.21M,0.72%
"Feb 24, 2021",180.20,175.90,181.90,173.60,1.37M,4.34%
"Feb 23, 2021",172.70,181.00,181.30,171.20,1.91M,-4.48%
"Feb 22, 2021",180.80,188.00,189.00,178.00,1.26M,-3.37%
"Feb 18, 2021",187.10,187.50,190.50,186.00,1.53M,-1.42%
"Feb 17, 2021",189.80,191.90,193.40,187.40,4.19M,-0.68%
"Feb 16, 2021",191.10,198.10,199.80,189.90,3.78M,-1.75%
"Feb 15, 2021",194.50,182.60,195.90,182.60,3.99M,8.30%
"Feb 14, 2021",179.60,171.90,182.70,170.80,2.55M,5.83%
"Feb 11, 2021",169.70,172.20,174.80,167.50,2.17M,-1.16%
"Feb 10, 2021",171.70,166.00,177.30,166.00,2.99M,4.50%
"Feb 09, 2021",164.30,151.40,164.60,151.40,2.85M,9.75%
"Feb 08, 2021",149.70,165.00,166.80,147.30,4.02M,-8.50%
"Feb 07, 2021",163.60,179.00,180.00,161.20,1.69M,-7.93%
"Feb 04, 2021",177.70,173.50,179.20,173.20,1.47M,2.95%
"Feb 03, 2021",172.60,171.00,174.30,169.20,2.41M,0.94%
"Feb 02, 2021",171.00,176.80,178.00,169.70,2.70M,-3.12%
"Feb 01, 2021",176.50,184.20,187.00,174.20,1.87M,-4.18%
"Jan 31, 2021",184.20,184.80,190.00,183.60,1.77M,0.27%
"Jan 28, 2021",183.70,190.00,191.80,181.80,3.29M,-2.34%
"Jan 27, 2021",188.10,192.70,193.80,185.90,2.37M,-2.08%
"Jan 26, 2021",192.10,198.90,200.90,190.90,2.63M,-4.00%
"Jan 25, 2021",200.10,214.20,215.00,191.00,7.43M,-3.98%
"Jan 24, 2021",208.40,216.90,216.90,202.80,12.53M,5.15%
"Jan 21, 2021",198.20,199.00,204.80,195.60,4.17M,1.48%
"Jan 20, 2021",195.30,198.90,201.40,194.40,3.60M,-0.05%
"Jan 19, 2021",195.40,194.10,198.00,191.70,2.95M,3.39%
"Jan 18, 2021",189.00,186.50,194.00,176.00,3.82M,1.34%
